Component,Origin,License,Copyright
github.com/DataDog/temporal-worker-controller,,MIT,
github.com/beorn7/perks/quantile,https://github.com/beorn7/perks,MIT,Blake Mizerany
github.com/cespare/xxhash/v2,https://github.com/cespare/xxhash,MIT,Caleb Spare
github.com/davecgh/go-spew/spew,https://github.com/davecgh/go-spew,ISC,Dave Collins <dave@davec.name>
github.com/emicklei/go-restful/v3,https://github.com/emicklei/go-restful,MIT,Ernest Micklei
github.com/emirpasic/gods,https://github.com/emirpasic/gods,BSD-2-Clause,Emir Pasic
github.com/evanphx/json-patch/v5,https://github.com/evanphx/json-patch,BSD-3-Clause,Evan Phoenix
github.com/facebookgo/clock,https://github.com/facebookgo/clock,MIT,Ben Johnson
github.com/fatih/color,https://github.com/fatih/color,MIT,Fatih Arslan
github.com/fsnotify/fsnotify,https://github.com/fsnotify/fsnotify,BSD-3-Clause,The Go Authors
github.com/fxamacker/cbor/v2,https://github.com/fxamacker/cbor,MIT,-present Faye Amacker
github.com/go-logr/logr,https://github.com/go-logr/logr,Apache-2.0,
github.com/go-logr/zapr,https://github.com/go-logr/zapr,Apache-2.0,
github.com/go-openapi/jsonpointer,https://github.com/go-openapi/jsonpointer,Apache-2.0,
github.com/go-openapi/jsonreference,https://github.com/go-openapi/jsonreference,Apache-2.0,
github.com/go-openapi/swag,https://github.com/go-openapi/swag,Apache-2.0,
github.com/gogo/protobuf,https://github.com/gogo/protobuf,BSD-3-Clause,The GoGo Authors
github.com/gogo/status,,,gRPC authors
github.com/golang/glog,https://github.com/golang/glog,Apache-2.0,Google Inc
github.com/golang/groupcache/lru,https://github.com/golang/groupcache,Apache-2.0,
github.com/golang/mock/gomock,https://github.com/golang/mock,Apache-2.0,Google Inc
github.com/golang/protobuf,https://github.com/golang/protobuf,BSD-3-Clause,The Go Authors
github.com/google/gnostic-models,https://github.com/google/gnostic-models,Apache-2.0,Google LLC
github.com/google/go-cmp/cmp,https://github.com/google/go-cmp,BSD-3-Clause,The Go Authors
github.com/google/go-licenses/licenses,https://github.com/google/go-licenses,Apache-2.0,Google Inc
github.com/google/gofuzz,https://github.com/google/gofuzz,Apache-2.0,Google Inc
